"
	JEDNOSTKA LEKCYJNA / TEMAT";;"
	CELE PODSTAWOWE";"
	CELE PONADPODSTAWOWE"
"
	32 - 33";"
 Kąty w trójkątach i

 czworokątach";"   zna sumę miar kątów wewnętrznych trójkąta (K)

   zna miary kątów w trójkącie równobocznym (P)

   zna i rozumie zależność między kątami w trójkącie równoramiennym (P)

   zna sumę miar kątów wewnętrznych czworokąta (K)

   zna i rozumie zależność między kątami w trapezie, równoległoboku (P)

   umie obliczyć brakujące miary kątów trójkąta (K - P)

   umie obliczyć brakujące miary kątów czworokątów (P - R)";"   zna definicję wielokąta foremnego ( W)

   umie obliczyć brakujące miary kątów trójkąta lub czworokąta na rysunku z

	wykorzystaniem miar kątów przyległych, wierzchołkowych, naprzemianległych,

	odpowiadających oraz własności trójkątów lub czworokątów (R - W )
   umie rozwiązać zadanie tekstowe związane z miarami kątów w trójkątach i

	czworokątach (D - W)"
34;"
 Powtórzenie";;
"
	35 - 36";"
 Praca klasowa i jej omówienie";;
"
	DZIAŁ 3. LICZBY NA CO DZIEŃ (16 h)";;;
"
	37 - 38";"
 Kalendarz i czas";"   zna zasady dotyczące lat przestępnych (P)

   zna jednostki czasu (K)

   zna i rozumie zapisywanie i odczytywanie dat w systemie rzymskim (K - P)

   rozumie konieczność wprowadzenia lat przestępnych (P)

   umie podać przykładowe lata przestępne (P)

   umie obliczyć upływ czasu między wydarzeniami (K - P)

   umie porządkować wydarzenia w kolejności chronologicznej (K)

   umie zamienić jednostki czasu (K - R)";"   zna i rozumie jednostki w różnych systemach metrycznych (D- W )

   umie rozwiązać nietypowe zadanie tekstowe związane z kalendarzem i czasem (D -

	W)"

;;"   umie wyrażać w różnych jednostkach ten sam upływ czasu (P - R)

   umie rozwiązać zadanie tekstowe związane z kalendarzem i czasem (P - R)

   umie określać wiek (K - P)";
"
	39 - 41";"
 Jednostki długości

 i jednostki masy";"   zna jednostki długości (K)

   zna jednostki masy (K)

   rozumie potrzebę stosowania różnorodnych jednostek długości i masy (K)

   umie wykonać obliczenia dotyczące długości (K -P)

   umie wykonać obliczenia dotyczące masy (K -P)

   umie zamienić jednostki długości i masy (K - P)

   umie wyrażać w różnych jednostkach te same masy (P - R)

   umie wyrażać w różnych jednostkach te same długości (P - R)

   umie porządkować wielkości podane w różnych jednostkach (P - R)

   umie rozwiązać zadanie tekstowe związane z jednostkami długości i masy (P - R)";"   umie rozwiązać nietypowe zadanie tekstowe związane z jednostkami długości i masy

	(D- W)"
"
	42 - 43";"
 Skala na planach

 i mapach";"   zna pojęcie skali i planu (K)

   rozumie potrzebę stosowania odpowiedniej skali na mapach i planach (K)

   umie obliczyć skalę (K - P)

   umie obliczyć długości odcinków w skali lub w rzeczywistości (K - P)

   umie rozwiązać zadanie tekstowe związane ze skalą (P - R)";   umie rozwiązać nietypowe zadanie tekstowe związane ze skalą (D - W)
44;"
 Zaokrąglanie liczb";"   zna zasady zaokrąglania liczb (P)

   zna symbol przybliżenia (P)

   rozumie potrzebę zaokrąglania liczb (P)

   umie zaokrąglić liczbę do danego rzędu (P - R)";"   zna pojęcie przybliżenia z niedomiarem oraz przybliżenia z nadmiarem (W)

   umie zaokrąglić liczbę zaznaczoną na osi liczbowej (R)

   umie wskazać liczby o podanym zaokrągleniu (R)

   umie zaokrąglić liczbę po zamianie jednostek (R)

   umie określić, ile jest liczb o podanym zaokrągleniu spełniających dane warunki (D -

	W)

   umie rozwiązać nietypowe zadanie tekstowe związane z przybliżeniami (D - W)"
