"
	TEMAT";"
	WYMAGANIA SZCZEGÓŁOWE Z PODSTAWY PROGRAMOWEJ DLA KLASY IV -VI"
"
  Droga";"
  XII. Obliczenia praktyczne. Uczeń:

  6) zamienia i prawidłowo stosuje jednostki długości: milimetr, centymetr, decymetr, metr, kilometr;

  9) w sytuacji praktycznej oblicza: drogę przy danej prędkości i czasie (…)."
"
  Prędkość";"
  XII. Obliczenia praktyczne. Uczeń:

  6) zamienia i prawidłowo stosuje jednostki długości: milimetr, centymetr, decymetr, metr, kilometr;

  9) w sytuacji praktycznej oblicza: (…) prędkość przy danej drodze i czasie, (…) oraz stosuje jednostki prędkości km/h i m/s."
"
  Czas";"
  XII. Obliczenia praktyczne. Uczeń:

  3) wykonuje proste obliczenia zegarowe na godzinach, minutach i sekundach;

  6) za mienia i prawidłowo stosuje jednostki długości: milimetr, centymetr, decymetr, metr, kilometr;

  9) w sytuacji praktycznej oblicza: (…) czas przy danej drodze i prędkości (…)."
"
  Droga, prędkość, czas";"
  XII. Obliczenia praktyczne. Uczeń:

  3) wykonuje proste oblic zenia zegarowe na godzinach, minutach i sekundach;

  6) zamienia i prawidłowo stosuje jednostki długości: milimetr, centymetr, decymetr, metr, kilometr;

  9) w sytuacji praktycznej oblicza: drogę przy danej prędkości i czasie, prędkość przy danej drodze i czasie, czas przy danej drodze i prędkości oraz

  stosuje jednostki prędkości km/h i m/s."
"
  DZIAŁ 5. POLA WIELOKĄTÓW";
"
  Pole prostokąta";"
  XI. Obliczenia w geometrii. Uczeń:

  3) oblicza pola: (…) kwadratu, prostokąta, (…) przedstawionych na rysunku oraz w sytuac jach praktycznych, w tym także dla danych wymagających

  zamiany jednostek;

  4) stosuje jednostki pola: mm², cm², dm², m², km², ar, hektar (bez zamiany jednostek w trakcie obliczeń);

  5) oblicza pola wielokątów metodą podziału na mniejsze wielokąty lub uzupełn iania do większych wielokątów (…)."
"
  Pole równoległoboku

  i rombu";"
  XI. Obliczenia w geometrii. Uczeń:

  3) oblicza pola: (…) rombu, równoległoboku, (…) przedstawionych na rysunku oraz w sytuacjach praktycznych, w tym także dla da nych wymagających

  zamiany;

  4) stosuje jednostki pola: mm², cm², dm², m², km², ar, hektar (bez zamiany jednostek w trakcie obliczeń);

  5) oblicza pola wielokątów metodą podziału na mniejsze wielokąty lub uzupełniania do większych wielokątów (…)."
"
  Pole trójkąta";"
  XI. Obliczenia w geometrii. Uczeń:

  3) oblicza pola: trójkąta, (…) przedstawionych na rysunku oraz w sytuacjach praktycznych, w tym także dla danych wymagających zamiany jednostek;

  4) stosuje jednostki pola: mm², cm², dm2, m², km², ar, hektar (bez zamiany jednostek w trakcie obliczeń );

  5) oblicza pola wielokątów metodą podziału na mniejsze wielokąty lub uzupełniania do większych wielokątów (…)."
"
  Pole trapezu";"
  XI. Obliczenia w geometrii. Uczeń:

  3) oblicza pola: trójkąta, kwadratu, prostokąta, rombu, równoległoboku, trapezu, przedstawionych na rysunku oraz w sytuacjach praktycznych, w

  tym także dla danych wymagających zamiany jednostek;"

;"
  4) stosuje jednostki pola: mm², cm², dm², m², km², ar, hektar (bez zamiany jednostek w trakcie obliczeń);

  5) oblicza pola wielokątów metodą po działu na mniejsze wielokąty lub uzupełniania do większych wielokątów (…)."
"
  DZIAŁ 6. PROCENTY";
"
  Procenty i ułamki";"
  IV. Ułamki zwykłe i dziesiętne. Uczeń:

  1) opisuje część danej całości za pomocą ułamka.

  V. Działania na ułamkach zwykłych i dziesiętnych. Uczeń:

  5) oblicza ułamek danej liczby całkowitej.

  XII. Obliczenia praktyczne. Uczeń:

  1) interpretuje 100% danej wielkości jako całość, 50% – jako połowę, 25% – jako jedną czwartą, 10% – jako jedną dziesiątą, 1% – jako jedną setną

  części danej wielkości lic zbowej."
"
  Jaki to procent?";"
  IV. Ułamki zwykłe i dziesiętne. Uczeń:

  1) opisuje część danej całości za pomocą ułamka.

  V. Działania na ułamkach zwykłych i dziesiętnych. Uczeń

  4) oblicza ułamek danej liczby całkowitej.

  XII. Obliczenia praktyczne. Uczeń:

  1) inter pretuje 100% danej wielkości jako całość, 50% – jako połowę, 25% – jako jedną czwartą, 10% – jako jedną dziesiątą, 1% – jako jedną setną

  części danej wielkości liczbowej;

  2) w przypadkach osadzonych w kontekście praktycznym oblicza procent danej wielkości w stopniu trudności typu 50%, 20%, 10%."
"
  Jaki to procent? (cd.)

  Obliczenia za pomocą

  kalkulatora*";"
  IV. Ułamki zwykłe i dziesiętne. Uczeń:

  10) zapisuje ułamki zwykłe o mianownikach innych niż wymienione w pkt 9 w postaci rozwinięcia dziesiętnego nieskończonego, uzyskane w wyniku

  dzielenia licznika przez mianownik (...) za pomocą kalkulatora;

  11) w sytuacjach praktycznych zaokrągla ułamki dziesiętne do co najwyżej drugiego miejsca po przecinku (zł, gr, m, cm, mm itp.).

  XII. Obliczenia praktyczne. Uczeń:

  1) interpretuje 100% danej wielkości jako całość, 50% – jako połowę, 25% – jako jedną czwartą, 10% – jako jedną dziesiątą, 1% – jako jedną setną

  części danej wielkości liczbowej;

  2) w przypadkach osadzonych w kontekście praktycznym oblicza procent d anej wielkości w stopniu trudności typu 50%, 20%, 10%."
"
  Diagramy procentowe";"
  XII. Obliczenia praktyczne. Uczeń:

  1) interpretuje 100% danej wielkości jako całość, 50% – jako połowę, 25% – jako jedną czwartą, 10% – jako jedną dziesiątą, 1% – jako jedną setną

  części danej wielkości liczbowej.

  XIII. Elementy statystyki opisowej. Uczeń:

  1) gromadzi i porządkuje dane;

  2) odczytuje i interpretuje dane przedstawione w tekstach, tabelach, na diagramach (…)."
