"
  JEDNOSTKA ORGANIZACYJNA / TEMAT";;"
	CELE PODSTAWOWE";"
	CELE PONADPODSTAWOWE"
56;"
  Proste prostopadłe i

  proste równoległe";"
  · zna podstawowe figury geometryczne (K)

  · zna zapis symboliczny prostych prostopadłych i równo ległych (P)

  · zna pojęcie odległości punktu od prostej (P)

  · zna pojęcie odległości między prostymi (P)

  · umie rozpoznawać proste i odcinki prostopadłe (równoległe) (K)

  · umie kreślić proste i odcinki prostopadłe (K) oraz proste i odcinki równoległe (P)

  · umie kreślić prostą prostopadłą przechodzącą przez punkt nieleżący na prostej (K)

  · umie kreślić prostą równoległą przechodzącą przez punkt nieleżący na prostej (P)

  · umie kreślić proste w ustalonej odległości (P)";"
  · umie rozwiązywać zadania tekstowe związ ane z prostopadłością i

  równoległością prostych (P – R)

  · umie określać wzajemne położenia prostych i odcinków na płaszczyźnie (R –

  D)

  · umie rozwiązywać zadania tekstowe związane z prostopadłością i

  równoległością prostych (D – W)"
57;"
  Kąty";"
  · zna pojęcie kąta (K)

  · zna elementy budowy kąta (P)

  · zna rodzaje kątów:

  – prosty, ostry, rozwarty, pełny, półpełny (K)

  · zna zapis symboliczny kąta (P)

  · umie rysować poszczególne rodzaje kątów (K – P)";"
  · zna rodzaje katów:

  – wypukły, wklęsły (R)

  · umie rozróżniać pos zczególne rodzaje kątów (K – R)

  · umie rysować czworokąty o danych kątach (R – W)

  · umie rozwiązywać zadania tekstowe związane z zegarem (D – W)"
58;"
  Mierzenie kątów";"
  · zna jednostki miary kątów:

  – stopnie (K)

  · umie mierzyć kąty (K – P)";"
  · zna jednostki miary kątów:

  – minuty, sekundy (R)

  · umie rysować kąty o danej mierze stopniowej (K – R)

  · umie określać miarę stopniową poszczególnych rodzajów kątów (P – R)

  · umie rozwiązywać zadania związane z zegarem (D – W)

  · umie obliczać miarę kąta wklęsłego (R – D)

  · umie dopełniać do kąta prostego kąty, których miary podane są w stopniach,"

;;;"
  minutach i sekundach (D – W)"
"
	59 - 60";"
  Kąty przyległe,

  wierzchołkowe. Kąty

  utworzone przez trzy

  proste";"
  · zna pojęcia kątów:

  – przyległych (K)

  – wierzchołkowych (K)

  · zna związki m iarowe pomiędzy poszczególnymi rodzajami kątów (K – P)

  · umie wskazywać poszczególne rodzaje kątów (K – P)

  · umie rysować poszczególne rodzaje kątów (K – P)";"
  · zna pojęcia kątów:

  – naprzemianległych (R)

  – odpowiadających (R)

  · umie określać miary kątów przyległych, wierzchołkowych na podstawie

  rysunku lub treści zadania (K – R)

  · umie określać miary kątów przyległych, wierzchołkowych, odpowiadających i

  naprzemianległych na podstawie rysunku lub treści zadania (D – W)

  · umie rozwiązywać zadania tekstowe zwią zane z kątami (D – W)"
"
  62 - 6361";"
  Wielokąty";"
  · zna pojęcie wielokąta (K)

  · zna pojęcie wierzchołka, kąta, boku wielokąta (K)

  · zna pojęcie przekątnej wielokąta (K)

  · zna pojęcie obwodu wielokąta (K)

  · umie rysować wielokąty o danych cechach (K – P)

  · umie rysować przekątne wielokąta (K)

  · umie obliczać obwody wielokątów:

  – w rzeczywistości (K – P)";"
  · umie obliczać obwody wielokątów:

  – w skali (P – R)

  · umie dzielić wielokąty na części spełniające podane warunki (D – W)

  · umie porównywać obwody wielokątów (R – D)

  · umie obliczać liczbę przekątnych n- kątów (D - W)"
"
	62 - 63";"
  Rodzaje trójkątów";"
  · zna rodzaje trójkątów (K – P)

  · zna nazwy boków w trójkącie równoramiennym (P)

  · zna nazwy boków w trójkącie prostokątnym (P)

  · zna zależność między bokami w trójkącie równoramiennym (P)

  · rozumie klasyfikację trójkątów (P)

  · umie wskazywać i rysować poszczególne rodzaje trójkątów (K – P)

  · umie określać rodzaje trójkątów na podstawie rysunków (K – P)

  · umie obliczać obwód trójkąta:

  – o danych długościach boków (K)

  – równoramiennego o danej długości podstawy i ramienia (P)";"
  · umie obliczać długość podstawy (ramienia), znając obwód i długość ramienia

  (podstawy) trójkąta równoramiennego (R)

  · umie rozwiązywać zadania tekstowe związane z trójkątami ( D – W)"
64;"
  Konstruowanie trójkąta o

  danych bokach";"
  · zna zasady konstrukcji trójkąta przy pomocy cyrkla i linijki (P)

  · zna warunki zbudowania trójkąta (P)

  · umie konstruować trójkąty o trzech danych bokach (P)";"
  · umie konstruować trójkąt równoramienny o da nych długościach podstawy i

  ramienia (R)

  · umie konstruować trójkąt przystający do danego (R – D)

  · umie konstruować wielokąty przystające do danych (W)

  · umie stwierdzać możliwość zbudowania trójkąta o danych długościach boków

  (W)"
"
	65 - 66";"
  Miary kątów w trójkątach";"
  · zna sumę miar kątów wewnętrznych trójkąta (K)

  · zna miary kątów w trójkącie równobocznym (P)

  · zna zależność między kątami w trójkącie równoramiennym (P)";"
  · umie obliczać brakujące miary kątów trójkąta (P – R)

  · umie obliczyć brakujące miary kątów w trójkątach z wykorzystaniem miar

  kątów przyległych (R – D)

  · umie klasyfikować trójkąty, znając miary ich kątów oraz podawać miary

  kątów, znając nazwy trójkątów (R – D)

  · umie rozwiązywać zadania tekstowe związane z miarami kątów w trójkątach

  (D – W)

  · umie obliczać sumy miar kątów wielokątów (D)"
