"
	JEDNOSTKA ORGANIZACYJNA / TEMAT";;"
	CELE PODSTAWOWE";"
	CELE PONADPODSTAWOWE"
"
	40 - 41";"
 Przekątna kwadratu. Wysokość

 trójkąta równobocznego";"  zna wzór na obliczanie długości przekątnej kwadratu (K)

  zna wzór na obliczanie wysokości trójkąta równobocznego (K)

  zna wzór na obliczanie pola trójkąta równoboczne go (P)

  umie wyprowadzić wzór na obliczanie długości przekątnej kwadratu (P)

  umie obliczyć długość przekątnej kwadratu, znając długość jego boku (K - P)

  umie obliczyć wysokość lub pole trójkąta równobocznego, znając długość jego boku (P - R)

  umie obliczyć długo ść boku lub pole kwadratu, znając długość jego przekątnej (P)

  umie rozwiązać zadania tekstowe związane z przekątną kwadratu lub wysokością trójkąta

	równobocznego (P)";"  umie wyprowadzić wzór na obliczanie wysokości trójkąta równobocznego (R)

  umie obliczyć długość boku lub pole kwadratu, znając długość jego przekątnej (R)

  umie obliczyć długość boku lub pole trójkąta równobocznego, znając jego wysokość

	(R- D)
  umie rozwiązać zadania tekstowe związane z przekątną kwadratu lub wysokością

	trójkąta równobocznego (R - W)"
"
	42 - 44";"
 Trójkąty o kątach 90 0, 450, 450

 oraz 900, 300, 600";"  zna zależności między bokami i kątami trójkąta o kątach 90 0, 450, 45 0 oraz 900, 300, 600 (P)

  umie wskazać trójkąt prostokątny o kątach 90 0, 450, 450 oraz 900, 30 0, 60 0 (K -P)

  umie rozwiązać trójkąt prostokątny o kątach 90 0, 450, 450 oraz 90 0, 300, 600 (P)";"  umie rozwiązać trójkąt prostokątny o kątach 90 0, 450, 450 oraz 900, 30 0, 600 (R- D)

  umie rozwiązać zadania tekstowe wykorzystujące zależności między bokami i kątami

	trójkąta o kątach 90 0, 450, 450 oraz 900, 300, 600 (R-W)"
"
	45 - 46";"
 Odcinki w układzie

 współrzędnych";"  umie odczytać odległość między dwoma punktami o równych odciętych lub rzędnych (K)

  umie wyznaczyć odległość między dwoma punktami, których współrzędne wyrażone są

	liczbami całkowitymi (P)
  umie wyznaczyć środek odcinka (P - R)";"  umie obliczyć długości boków wielokąta leżącego w układzie współrzędnych (R)

  umie sprawdzić, czy punkty leżą na okręgu lub w kole umieszczonym w układzie

	współrzędnych (R- D)
  umie rozwiązać zadania tekstowe wykorzystujące obl iczanie długości odcinków w

	układzie współrzędnych (R- D)"
"
	47 - 50";"
 Dowodzenie w geometrii";"  zna podstawowe własności figur geometrycznych (K)

  umie wykonać rysunek ilustrujący zadanie (P)

  umie wprowadzić na rysunku dodatkowe oznaczenia (P)

  umie dostrzegać zależn ości pomiędzy dowodzonymi zagadnieniami a poznaną teorią (P)

  umie podać argumenty uzasadniające tezę (P - R)

  umie przedstawić zarys, szkic dowodu (P - R)

  umie przeprowadzić prosty dowód (P - R)";"  umie zapisać dowód, używając matematycznych symboli (R - D)

  umie przeprowadzić dowód (R- D)"

51;"
 Powtórzenie";;
"
	52 - 53";"
 Praca klasowa i jej omówienie";;
"
	DZIAŁ 4. ZASTOSOWANIA MATEMATYKI (22 h)";;;
"
	54 - 56";"
 Obliczenia procentowe";"  zna pojęcie procentu (K)

  rozumie potrzebę stosowania procentów w życiu codziennym (K)

  umie zamienić pro cent na ułamek i odwrotnie (K - P)

  umie obliczyć procent danej liczby (K - P)

  umie odczytać dane z diagramu procentowego (K - P)

  umie obliczyć liczbę na podstawie danego jej procentu (P)

  umie obliczyć, jakim procentem jednej liczby jest druga liczba (P)

  umie rozwiązać zadania związane z procentami (P)";"  umie obliczyć liczbę na podstawie danego jej procentu (R)

  umie obliczyć, jakim procentem jednej liczby jest druga liczba (R)

  umie rozwiązać zadania związane ze stężeniami procentowymi (R - D)

  zna pojęcie promila (R)

  umie obliczyć promil danej liczby (R)

  umie rozwiązać zadania związane z procentami (R - W)"
"
	57 - 59";"
 Zmiana o dany procent. Lokaty

 bankowe";"  zna pojęcie punktu procentowego (P)

  zna pojęcia oprocentowania i odsetek (K)

  zna pojęcie inflacji (P)

  umie obliczyć liczbę większą lub mniejszą o dany procent (P)

  umie obliczyć, o ile procent wzrosła lub zmniejszyła się liczba (P - R)

  umie obliczyć liczbę na podstawie jej procentowego wzrostu (obniżki) (P - R)

  rozumie pojęcie oprocentowania (K)

  umie obliczyć stan konta po roku czasu, znając oprocentowanie (K)

  umie obliczyć stan konta po dwóch latach (P)

  umie obliczyć oprocentowanie, znając otrzymaną po roku kwotę i odsetki (P)

  umie porównać lokaty bankowe (P)

  umie rozwiązać zadania związane z pro centami w kontekście praktycznym (P - R)

  umie wykonać obliczenia w różnych sytuacjach praktycznych, operuje procentami (P - R)";"  umie obliczyć liczbę na podstawie jej procentowego wzrostu (obniżki) (R - D)

  umie obliczyć stan konta po kilku latach (R - D)

  umie porówn ać lokaty bankowe (R- D)

  umie wykonać obliczenia w różnych sytuacjach praktycznych, operuje procentami (R -

	D)
  umie rozwiązać zadania tekstowe związane z oprocentowaniem (R - W)"
