"
  JEDNOSTKA ORGANIZACYJNA / TEMAT";;"
	CELE PODSTAWOWE";"
	CELE PONADPODSTAWOWE"
"
  100 - 102";"
  Odejmowanie ułamków

  zwykłych";"
  · zna algorytm odejmowania ułamków zwykłych o jednakowych mianownikach (K)

  · rozumie odejmowanie jako działanie odwrotne do dodawania (P)

  · umie porównywać różnicowo (P)

  · umie odejmować dwa ułamki zwykłe o tych samych mianownikach (K)

  · umie odejmować liczby mieszane o tych samych mianownikach (P)

  · umie obliczać składnik, znając sumę i drugi składnik (P)

  · umie rozwiązywać zadania z zastosowaniem odejmowania ułamków zwykłych (P)";"
  · umie odejmować ułamki od całości (R)

  · umie rozwiązywać zadania tekstowe na porównywanie różnicowe (R –D)

  · umie obliczać odjemnik, znając odjemną i różnicę (R)

  · umie rozwiązywać zadania tekstowe z zastosowaniem odejmowania

  ułamków zwykłych (D–W)"
103;"
  Powtórzenie";;
"
  104 - 105";"
  P raca klasowa i jej

  omówienie";;
"
	DZIAŁ 6. UŁAMKI DZIESIĘTNE (1 7 h)";;;
"
  106 - 107";"
  Ułamki o mianownikach

  10, 100, 1000, …";"
  · zna dwie postaci ułamka dziesiętnego (K)

  · zna nazwy rzędów po przecinku (P)

  · zna dziesiątkowy układ pozycyjny z rozszerzeniem na części ułamkowe (P)

  · umie zapisywać i odczytywać ułamki dziesiętne (K –P)

  · umie przedstawiać ułamki dziesiętne na osi liczbowej (P)

  · umie zamieniać ułamki dziesiętne na zwykłe (P)

  · umie zapisywać podane kwoty w postaci ułamków dziesiętnych (P)";"
  · umie obliczać współrzędną liczby zaznaczonej na osi liczbowej, mając dane

  współrzędne dw óch innych liczb (W)

  · umie zapisywać ułamki dziesiętne, których cyfry spełniają podane warunki

  (R–D)

  · umie rozwiązywać zadania tekstowe z zastosowaniem ułamków dziesiętnych

  (W)"
"
  10 8 - 10 9";"
  Zapisywanie wyrażeń

  dwumianowanych, cz.1";"
  · zna pojęcie wyrażenia jednomianowanego i dwumianowanego (P)

  · zna zależności pomiędzy jednostkami długości (P)

  · zna możliwość przedstawiania długości w różny sposób (P)

  · umie zastosować ułamki dziesiętne do wyrażania długości w różnych jednostkach (P)";"
  · umie ustalać zależności pomiędzy nietypowymi jednostkami długości (W)"
"
  1 10 - 111";"
  Zapisywanie wyrażeń

  dwumianowanych, cz. 2";"
  · zna zależności pomiędzy jednostkami masy (P)

  · zna możliwość przedstawiania masy w różny sposób (P)

  · umie zastosować ułamki dziesiętne do wyrażania masy w różnych jednostkach (P)";"
  · umie zastosować ułamki dziesiętne do wyrażania masy w różnych

  jednostkach (W)"
"
	1 12";"
  Różne zapisy tego samego

  ułamka dziesiętnego";"
  · zna różne sposoby zapisu tych samych liczb (P)

  · rozumie, że dopisywanie zer na końcu ułamka dziesiętnego ułatwia zamianę jednostek

  i nie zmienia wartości liczby (P)

  · umie zapisywać ułamki dziesiętne z pominięciem końcowych zer (P)";"
  · umie wyrażać długość i masę w różnych jednostkach (R)

  · umie zamieniać wyrażenia dwumianowane na jednomianowane i odwrotnie

  (R)

  · umie określać liczebność zbioru spełniającego podane warunki (W)"
"
  1 13 - 114";"
  Porównywanie ułamków

  dziesiętnych";"
  · zna algorytm porównywania ułamków dziesiętnych (P)

  · umie porównywać dwa ułamki dziesiętne o tej samej liczbie cyfr po przecinku (K –P)";"
  · umie porządkować ułamki dziesiętne (R)

  · umie porównywać dowolne ułamki dziesiętne (R)

  · umie porównywać wielkości podane w różnych jednostkach (R–D)

  · umie znajdować ułamki spełniające zadane warunki (D –W),

  · umie określać liczebność zbioru spełniającego podane warunki (R –W)"
"
  1 15 - 116";"
  Dodawanie ułamków

  dziesiętnych";"
  · zna algorytm dodawania pisemnego ułamków dziesiętnych (K)

  · pamięciowo i pisemnie umie dodawać ułamki dziesiętne o jednakowej liczbie cyfr po

  przecinku (K) i o różnej liczbie cyfr po przecinku (P )

  · umie rozwiązywać zadania tekstowe z zastosowaniem dodawania ułamków

  dziesiętnych (P )";"
  · umie rozwiązywać zadania z zastosowaniem dodawania ułamków

  dziesiętnych (D –W)"
"
  11 7 - 11 9";"
  Odejmowanie ułamków

  dziesiętnych";"
  · zna algorytm odejmowania pisemnego ułamków dziesiętnych (K)

  · umie porównywa ć różnicow o (P)

  · umie odejmować pamięciowo i pisemnie ułamki dziesiętne (P )

  · umie sprawdzać poprawność odejmowania (P)";"
  · umie rozwiązywać zadania tekstowe na porównywanie różnicowe (R –D)

  · umie obliczać wartości prostych wyrażeń arytmetycznych z uwzględnieniem

  kolejności działań i nawiasów (R –D)

  · rozwiązywać zadania tekstowe z zastosowaniem odejmowania ułamków

  dziesiętnych (D –W)"

;;"
  · umie rozwiązywać zadania tekstowe z zastos owaniem odejmowania ułamków

  zwykłych (P)";
120;"
  Powtórzenie";;
"
  1 21 - 122";"
  P raca klasowa i jej

  omówienie";;
"
	DZIAŁ 7. POLA FIGUR (9 h)";;;
"
	1 23";"
  Co to jest pole figury?";"
  · zna pojęcie kwadratu jednostkowego (K)

  · zna pojęcie pola jako liczby kwadratów jednostkowych (K)

  · umie mierzyć pola figur kwadratami jednostkowymi (K) i trójkątami jednostkowymi

  itp. (P)

  · umie budować figury z kwadratów jednostkowych (P)";"
  · umie rozwiązywać zadania tekstowe z zastosowaniem pojęcia pola (W)"
"
  1 24 - 125";"
  Jednostki pola. Pole

  prostokąta";"
  · zna jednostki pola (K)

  · zna algorytm obliczania pola prostokąta i kwadratu (K)

  · umie obliczać pola prostokątów i kwadratów (K –P)";"
  · umie obliczać pola figur złożonych z kilku prostokątów (D)

  · umie wskazywać wśród prostokątów ten, którego obwód jest najmniejszy itp.

  (W)

  · umie obliczać długość boku kwadratu, znając jego pole (R)

  · umie obliczać długość boku prostokąta, znając jego pole i długość drugiego

  boku (R–D)"
126;"
  Zależności między

  jednostkami pola";"
  · zna jednostki pola (K)

  · zna zależności pomiędzy jednostkami pola (P)

  · zna pojęcie ara i hektara (P)";"
  · umie zamieniać jednostki pola (R–D),

  · umie porównywać pola figur wyrażone w różnych jednostkach (R–D)"
"
  12 7 - 12 8";"
  Wycinanki i układanki";;"
  · umie obliczać pola figur złożonych z jednakowych modułów i ich części (R –D)

  · umie szacować pola figur nieregularnych pokrytych siatkami kwadratów

  jednostkowych (D)

  · umie określać pola wielokątów wypełnionych siatkami kwadratów

  jednostkowych (D–W)

  · umie rysować figury o danym polu (D –W)

  · umie układać figury tangramowe (D)"
129;"
  Powtórzenie";;
"
  1 30 - 131";"
  Praca klasowa i jej

  omówienie";;
"
	DZIAŁ 8. PROSTOPADŁOŚCIANY I SZEŚCIANY ( 9 h)";;;
"
  1 32 - 133";"
  Opis prostopadłościanu";"
  · zna pojęcie prostopadłościanu (K)

  · zna elementy budowy prostopadłościanu (P)

  · umie wyróżniać prostopadłościany spośród figur przestrzennych (K)

  · umie wyróżniać sześciany spośród figur przestrzennych (P)

  · umie wskazywać elementy budowy prostopadłościanu (P)

  · umie wskazywać w prostopadłościan ie ściany prostopadłe i równoległe oraz

  krawędzie prostopadłe i równoległe na modelu (P)

  · obliczać sumę długości krawędzi sześcianu (P)";"
  · umie obliczać sumę długości krawędzi prostopadłościanu (R)

  · umie obliczać długość trzeciej krawędzi prostopadłościanu, znając sumę

  wszystkich jego krawędzi oraz długość dwóch innych (D)

  · umie rysować prostopadłościan w rzucie równoległym (R –D)

  · umie wskazywać w prostopadłościanie ściany prostopadłe i równoległe oraz

  krawędzie prostopadłe i równoległe na rysunku (R)

  · umie rozwiązywać zadania z treścią dotyczące długości krawędzi

  prostopadłościanów (D- W)

  · umie określać wymiary prostopadłościanów zbudowanych z sześcianów (R–D)

  · umie charakteryzować prostopadłościany, mając informacje o części ścian (D)

  · umie szkicować widoki brył składających się z kilku prostopadłościanów lub

  układać bryły na podstawie ich widoków (R –D)

  · umie obliczać długość krawędzi sześcianu, znając sumę wszystkich jego

  krawędzi (R)"
"
  1 34 - 135";"
  Siatki prostopadłościanów";"
  · zna pojęci e siatki prostopadłościanu (P)

  · umie rysować siatki prostopadłościanów i sześcianów (P)

  · umie projektować siatki sześcianów (P)

  · umie sklejać modele z zaprojektowanych siatek (P)";"
  · umie projektować siatki prostopadłościanów (R)

  · umie projektować siatki prostopadłościanów i sześcianów w skali (R–D)

  · umie stwierdzać, czy rysunek przedstawia siatkę sześcianu (W)

  · umie wskazywać na siatkach ściany prostopadłe i równoległe (R- D)

  · umie podawać wymiary prostopadłościanów na podstawie siatek (R)"

"
  1 36 - 137";"
  Pole powierzchni

  prostopadłościanu";"
  · zna sposób obliczania pól powierzchni prostopadłościanów i sześcianów (P)

  · umie obliczać pola powierzchni sześcianów (P)

  · umie obliczać pola powierzchni prostopadłościanów na podstawie siatki (P)

  · umie rozwiązywać proste zadania tekstowe z zastosowaniem pól powierzchni

  prostopadłościanów (P)";"
  · umie obliczać pola powierzchni prostopadłościanów bez rysunku siatki (R)

  · umie rozwiązywać zadania tekstowe z zastosowaniem pól powierzchni

  prostopadłościanów ( R- W)

  · umie obliczać długość krawędzi sześcianu, znając jego pole powierzchni (D)

  · umie obliczać pola powierzchni brył złożonych z prostopadłościanów (W)

  · umie obliczać pole bryły powstałej w wyniku wycięcia sześcianu

  z prostopadłościanu (W)"
138;"
  Powtórzenie";;
"
  13 9 - 140";"
  Praca klasowa i jej

  omówienie";;
