"

  JEDNOSTKA ORGANIZACYJNA / TEMAT";;"
	CELE PODSTAWOWE";"
	CELE PONADPODSTAWOWE"
62;"
 Jednomiany";"  zna pojęcie jednomianu (K)

  zna pojęcie jednomianów podobnych (K)

  umie porządkować jednomiany (K - P)

  umie określić współczynniki liczbowe jednomianu (K)

  umie rozpoznać jednomiany podobne (K)";  umie zapisywać warunki zadania w postaci jednomianu (R - W)
"
	63 - 64";"
 Sumy algebraiczne";"  zna pojęcie sumy algebraicznej (K)

  zna pojęcie wyrazów podobnych (K)

  rozumie zasadę przeprowadzania redukcji wyrazów podobnych (P)

  umie odczytać wyrazy sumy algebraicznej (K)

  umie wskazać współczynniki sumy algebraicznej (K)

  umie wyodrębnić wyrazy podobne (K)

  umie zredukować wyrazy podobne (K - P)";"  umie obliczyć sumę algebraiczną znając jej wartość dla podanych wartości

	występujących w niej zmiennych (D)
  umie zapisywać warunki zadania w postaci sumy algebraicznej (R - W)"
"
	65 - 66";"
 Dodawanie i odejmowanie

 sum algebraicznych";"  umie opuścić nawiasy (P)

  umie zredukować wyrazy podobne (K - P)

  umie rozpoznawać sumy algebraiczne przeciwne (P)

  umie obliczyć wartość liczbową wyrażenia dla zmiennych wymiernych po przekształceniu do

	postaci dogodnej do obliczeń (P)";"  umie obliczyć wartość liczbową wyrażenia dla zmiennych wymiernych po

	przekształceniu do postaci dogodnej do obliczeń (R - D)

  umie wstawić nawiasy w sumie algebraicznej tak, by wyrażenie spełniało podany

	warunek (D)
  umie stosować dodawanie i odejmowanie sum algebraicznych w zadaniach

	tekstowych (D- W)"
"
	67 - 68";"
 Mnożenie jedn omianów

 przez sumy algebraiczne";"  umie przemnożyć każdy wyraz sumy algebraicznej przez liczbę (K)

  umie przemnożyć każdy wyraz sumy algebraicznej przez jednomian (P)

  umie obliczyć wartość liczbową wyrażenia dla zmiennych wymiernych po przekształceniu do

	postaci dogodnej do obliczeń (P)
  umie podzielić sumę algebraiczną przez liczbę wymierną (P)";"  umie zinterpretować geometrycznie iloczyn sumy algebraicznej przez jednomian (D)

  umie obliczyć wartość wyrażenia dla zmiennych wymiernych po przekształceniu do

	postaci dogodnej do obliczeń (R - D)
  umie stosować mnożenie jednomianów przez sumy (D - W)"

"
	69 - 70";"
 Mnożenie sum

 algebraicznych";  umie pomnożyć dwumian przez dwumian (P);"  umie mnożyć sumy algebraiczne (R)

  umie doprowadzić wyrażenie algebraiczne do prostszej postaci, stosując mnożenie

	sum algebra icznych (R- D)
  umie interpretować geometrycznie iloczyn sum algebraicznych (R)

  umie stosować mnożenie sum algebraicznych w zadaniach tekstowych (R - W)

  umie wykorzystać mnożenie sum algebraicznych do dowodzenia własności liczb (D -

	W)"
71;"
 Powtórzenie";;
"
	72 - 73";"
 P raca klasowa i jej

 omówienie";;
"
	DZIAŁ 5. RÓWNANIA (1 8 h)";;;
75;"
 Do czego służą równania?";"  zna pojęcie równania (K)

  umie zapisać zadanie w postaci równania (K - P)";"  umie zapisać zadanie w postaci równania (R - D)

  umie zapisać problem w postaci równania (W)"
75;"
 Liczby spełniające równania";"  zna pojęcie rozwiązania równania (K)

  zna pojęcia: równania równoważne, tożsamościowe, sprzeczne (P)

  rozumie pojęcie rozwiązania równania (K)

  umie sprawdzić, czy dana liczba spełnia równanie (K)

  umie rozpoznać równania równoważne (P)

  umie zbudować równanie o podanym rozwiązaniu (P)";"  umie zbudować równanie o podanym rozwiązaniu (R)

  wyszukuje wśród równań z wartością bezwzględną równania sprzeczne (R - D)"
"
	76 - 79";"
 Rozwiązywanie równań";"  zna metodę równań równoważnych (K -P)

  umie stosować metodę równań równoważnych (K - P)

  umie rozwiązywać równania posiadające jeden pierwiastek, równania sprzeczne i

	tożsamościowe (K - P)
  umie rozwiązywać równania bez stosowania przekształceń na wyrażeniach algebraicznych (K)

  umie rozwiązywać równania z zastosowaniem prostych przekształceń na wyrażeniach

	algebraicznych (P)";"  umie stosować metodę równań równoważnych (R)

  umie rozwiązywać równania posiadające jeden pierwiastek, równania sprzeczne i

	tożsamościowe (R- D)
  umie rozwiązywać równania z zastosowaniem przekształceń na wyrażeniach

	algebraicznych (R- D)"
"
	80 - 83";"
 Zadania tekstowe";"  umie analizować treść zadania o prostej konstrukcji (P)

  umie rozwiązać proste zadanie tekstowe za pomocą równania i sprawdzić poprawność

	rozwiązania (P)";"  umie wyrazić treść zadania za pomocą równ ania (R- W)

  umie rozwiązać zadanie tekstowe za pomocą równania i sprawdzić poprawność

	rozwiązania (R- W)

  umie rozwiązać zadanie tekstowe za pomocą równania (D - W)"
"
	84 - 86";"
 Procenty w zadaniach

 tekstowych";"  umie analizować treść zadania z procentami o prostej kons trukcji (P)

  umie rozwiązać proste zadanie tekstowe z procentami za pomocą równania (P)";"  umie wyrazić treść zadania z procentami za pomocą równania (R - W)

  umie rozwiązać zadanie tekstowe z procentami za pomocą równania

	i sprawdzić poprawność rozwiązania (R - W )"
"
	87 - 88";"
 Przekształcanie wzorów";"  umie przekształcać proste wzory (P)

  umie wyznaczyć z prostego wzoru określoną wielkość (P)";"  umie przekształcać wzory, w tym fizyczne i geometryczne (R - D)

  umie wyznaczyć ze wzoru określoną wielkość (R - W)"
89;"
 Powtórzenie";;
"
	90 - 91";"
 Praca klasowa i jej

 omówienie";;
"
	DZIAŁ 6. POTĘGI I PIERWIASTKI ( 17 h)";;;
"
	92 - 93";"
 Potęga o wykładniku

 naturalnym";"  zna i rozumie pojęcie potęgi o wykładniku naturalnym (K)

  umie obliczyć potęgę o wykładniku naturalnym (K)

  umie zapisać liczbę w postaci potęgi (P )

  umie porównać potęgi o różnych wykładnikach naturalnych i takich samych podstawach oraz

	o takich samych wykładnikach naturalnych i różnych dodatnich podstawach (K - P)

  umie określić znak potęgi, nie wykonując obliczeń (P)

  umie obliczyć wartość wyrażenia ar ytmetycznego zawierającego potęgi (P)";"  umie zapisać liczbę w postaci iloczynu potęg liczb pierwszych (R)

  umie obliczyć wartość wyrażenia arytmetycznego zawierającego potęgi (R - D)

  umie rozwiązać nietypowe zadanie tekstowe związane z potęgami (W)

  umie przeksz tałcić wyrażenie arytmetyczne zawierające potęgi (W)

  umie podać cyfrę jedności liczby podanej w postaci potęgi (D)"

"
	94 - 95";"
 Iloczyn i iloraz potęg o

 jednakowych podstawach";"  zna wzór na mnożenie i dzielenie potęg o tych samych podstawach (K)

  rozumie powstanie wzoru na mnożenie i dzielenie potęg o tych samych podstawach (P)

  umie zapisać w postaci jednej potęgi iloczyny i ilorazy potęg o takich samych podstawach (K - P)

  umie mnożyć i dzielić potęgi o tych samych podstawach (K)

  umie stosować mnożenie i dzielenie pot ęg o tych samych podstawach do obliczania wartości

	liczbowej wyrażeń (P)";"  umie stosować mnożenie i dzielenie potęg o tych samych podstawach do obliczania

	wartości liczbowej wyrażeń (R- D)

  umie rozwiązać nietypowe zadanie tekstowe związane z potęgami (R - D)

  um ie wykonać porównanie ilorazowe potęg o jednakowych podstawach (R)"
96;"
 Potęgowanie potęgi";"  zna wzór na potęgowanie potęgi (K)

  rozumie powstanie wzoru na potęgowanie potęgi (P)

  umie zapisać w postaci jednej potęgi potęgę potęgi (K)

  umie potęgować potęgę (K)

  umie przedstawić potęgę w postaci potęgowania potęgi (P)

  umie stosować potęgowanie potęgi do obliczania wartości liczbowej wyrażeń (P)";"  umie porównać potęgi sprowadzając je do tej samej podstawy (R)

  umie stosować potęgowanie potęgi do obliczania wartości li czbowej wyrażeń (R – D)

  umie porównać i porządkować potęgi, korzystając z potęgowania potęgi (W)"
97;"
 Potęgowanie iloczynu i

 ilorazu";"  zna wzór na potęgowanie iloczynu i ilorazu (K)

  rozumie powstanie wzoru na potęgowanie iloczynu i ilorazu (P)

  umie zapisać w postaci jednej potęgi iloczyny i ilorazy potęg o takich samych wykładnikach (K -

	P)
  umie potęgować iloczyn i iloraz (K)

  umie zapisać iloczyn i iloraz potęg o tych samych wykładnikach w postaci jednej potęgi (K - P)";  umie stosować potęgowanie iloczynu i ilorazu w zadaniach tekstowych (R- D)
"
	98 - 99";"
 Działania na potęgach";  umie doprowadzić wyrażenie do prostszej postaci, stosując działania na potęgach (P);"  umie doprowadzić wyrażenie do prostszej postaci, stosując działania na potęgach (R -

	W)

  umie porównywać potęgi o róż nych podstawach i różnych wykładnikach, stosując

	działania na potęgach (D - W)
  umie stosować działania na potęgach w zadaniach tekstowych (R - D)

  umie obliczyć wartość wyrażenia arytmetycznego, stosując działania na potęgach (R)"
100;"
 Notacja wykładnicza";"  zna pojęcie notacji wykładniczej dla danych liczb (K)

  umie zapisać dużą liczbę w notacji wykładniczej (K - P)";"  rozumie potrzebę stosowania notacji wykładniczej w praktyce (R)

  umie zapisać daną liczbę w notacji wykładniczej (R)

  umie porównać liczby zapisane w notacj i wykładniczej (R- D)

  umie obliczyć wartość wyrażenia arytmetycznego zawierającego liczby zapisane w

	notacji wykładniczej
  umie wykonać porównywanie ilorazowe dla liczb podanych w notacji wykładniczej (R -

	D)
  umie stosować notację wykładniczą do zamiany jednos tek (R- D)"
101;"
 Notacja wykładnicza (cd.)";"  zna pojęcie potęgi liczby 10 o wykładniku całkowitym ujemnym (K)

  umie zapisać bardzo małą liczbę w notacji wykładniczej, wykorzystując potęgi liczby 10 o

	ujemnych wykładnikach( P)";"  rozumie potrzebę stosowania notacji wykładniczej w praktyce (R)

  umie zapisać liczbę w notacji wykładniczej (R)

  umie wykonać porównywanie ilorazowe dla liczb podanych w notacji wykładniczej (R -

	D)

  umie stosować notację wykładniczą do zamiany jednostek (R - D)

  umie obliczyć wartość wyrażenia ary tmetycznego zawierającego liczby zapisane w

	notacji wykładniczej (D)"
"
	102 - 103";"
 Pierwiastki";"  zna pojęcia pierwiastka arytmetycznego II stopnia z liczby nieujemnej oraz pierwiastka III

	stopnia z dowolnej liczby (K)
  zna wzór na obliczanie pierwiastka II stopnia z kwadratu liczby nieujemnej

	i pierwiastka III stopnia z sześcianu dowolnej liczby (K)

  umie obliczyć pierwiastek II stopnia z kwadratu liczby nieujemnej

	i pierwiastek III stopnia z sześcianu dowolnej liczby (K)
  umie obliczyć pierwiastek arytmetyczny II stopnia z liczby nieujemnej

	i pierwiastek III stopnia z dowolnej liczby (K - P)
  umie oszacować wartość wyrażenia zawierającego pierwiastki (P)";"  umie oszacować wartość wyrażenia zawi erającego pierwiastki (R)

  umie obliczyć wartość wyrażenia arytmetycznego zawierającego pierwiastki

	(R- D)
  umie oszacować liczbę niewymierną (R - D)

  umie wykonywać działania na liczbach niewymiernych (R - D)"

;;  umie obliczyć wartość wyrażenia arytmetycznego zawierającego pierwiastki (P);
"
	104 - 105";"
 Działania na pierwiastkach";"  zna wzór na obliczanie pierwiastka z iloczynu i ilorazu (K)

  umie wyłączyć czynnik przed znak pierwiastka oraz włączyć czynnik pod znak pierwiastka (K - P)

  umie mnożyć i dzielić pierwiastki II stopnia oraz pierwiastki III stopnia (K)

  umie stosować wzory na obliczanie pierw iastka z iloczynu i ilorazu do wyznaczania wartości

	liczbowej wyrażeń (P)";"  umie wyłączyć czynnik przed znak pierwiastka (R)

  umie włączyć czynnik pod znak pierwiastka (R - D)

  umie wykonywać działania na liczbach niewymiernych (R - D)

  umie stosować wzór na oblicz anie pierwiastka z iloczynu i ilorazu do obliczania

	wartości liczbowej wyrażeń (P - D)
  umie doprowadzić wyrażenie algebraiczne zawierające potęgi i pierwiastki do

  prostszej postaci (R- D)

  umie rozwiązywać zadania tekstowe na zastosowanie działań na pierwiastk ach (R- W)

  umie porównać liczby niewymierne (R - D)"
106;"
 Powtórzenie";;
"
	107 - 108";"
 Praca klasowa i jej

 omówienie";;
"
	DZIAŁ 7. GRANIASTOSŁUPY (10 h)";;;
109;"
 Przykłady graniastosłupów";"  zna pojęcie prostopadłościanu (K)

  zna pojęcie graniastosłupa prostego (K)

  zna pojęcie graniastosłupa pochyłego (P)

  zna pojęcie graniastosłupa prawidłowego (K)

  zna budowę graniastosłupa (K)

  rozumie sposób tworzenia nazw graniastosłupów (K)

  umie wskazać na modelu graniastosłupa prostego krawędzie i ściany prostopadłe oraz

	równoległe (K)
  umie wskazać na rysunku graniastosłupa prostego krawędzie i ściany prostopadłe oraz

	równoległe (P)
  umie określić liczbę wierzchołków, krawędzi i ścian graniastosłupa (K - P)

  umie rysować graniastosłup prosty w rzucie równoległym (K -P)

  umie obliczyć sumę długośc i krawędzi graniastosłupa (P)";"  umie obliczyć sumę długości krawędzi graniastosłupa (R)

  umie rozwiązać zadanie tekstowe związane z sumą długości krawędzi (R - D)

  umie rozwiązać nietypowe zadanie związane z rzutem graniastosłupa (W)"
