"
	TEMAT";"
	WYMAGANIA SZCZEGÓŁOWE Z PODSTAWY PROGRAMOWEJ"
"
  Działania pisemne. Zadania

  tekstowe*";"
 II. Działania na liczbach naturalnych . Uczeń:

 4) stosuje wygodne dla niego sposoby ułatwiające obliczenia , w tym przemienność i łączność dodawania i mnożenia oraz rozdzielność mnożenia

	względem dodawania;

 9) stosuje reguły dotyczące kolejności wykonywania działań.

 XIV. Zadania tekstowe. Uczeń:

 1) czyta ze zrozumieniem tekst zawierający informacje li czbowe;

 2) wykonuje wstępne czynności ułatwiające rozwiązanie zadania, w tym rysunek pomocniczy lub wygodne dla niego zapisanie informacji i danych

	z treści zadania;"

;"
 3) dostrzega zależności między podanymi informacjami;

 4) dzieli rozwiązanie zadania na etapy, stosując własne, popraw ne, wygodne dla niego strategie rozwiązania;

 5) do rozwiązywania zadań osadzonych w kontekście prakt ycznym stosuje poznaną wiedzę z zakresu arytmetyki i geometrii oraz nabyte

	umiejętności rach unkowe, a także własne poprawne metody;

 6) weryfikuje wynik zadania tekstowego, oceniając sensow ność rozwiązania np. poprzez szacowanie, sprawdzanie wszystkich warunków zadania,

	ocenia nie rzędu wielkości otrzymanego wyniku ."
"
 DZIAŁ 4. FIGURY GEOMETRYCZNE";
"
  Proste, półproste, odcinki";"
 VII. Proste i odcinki. Uczeń:

 1) rozpoznaje i nazywa figury: punkt, prosta, półprosta, odcinek ."
"
  Wzajemne położenie prostych";"
 VII. Proste i odcinki. Uczeń:

 2) rozpoznaje proste, odcinki prostopadłe i równoległe;

 3) rysuje pary odcinków prostopadłych i równoległych ."
"
  Odcinki prostopadłe i odcinki

  równoległe";"
 VII. Proste i odcinki. Uczeń:

 2) rozpoznaje proste, odcinki prostopadłe i równoległe;

 3) rysuje pary odcinków prostopadłych i równoległych ."
"
  Mierzenie długości";"
 VII. Proste i odcinki. Uczeń:

 4) mierzy odcinek z dokładnością do 1 mm ."
"
  Kąty";"
 VIII. Kąty. Uczeń:

 1) wskazuje w dowolnym kącie ramiona i wierzchołek;

 4) rozpoznaje kąt prosty, ostry i rozwarty;

 5) porównuje kąty ."
"
  Mierzenie kątów";"
 VIII. Kąty. Uczeń:

 2) mierzy z dokładnością do 1º stopnia kąty mniejsze od 180º;

 3) rysuje kąty mniejsze od 180º;

 6) rozpoznaje kąty wierzchołkowe i przyległe oraz korzysta z ich własności."
"
  Wielokąty";"
 VII. Proste i odcinki. Uczeń :

 2) rozpoznaje proste, odcinki prostopadłe i równoległe;

 3) rysuje pary odcinków prostopadłych i równoległych.

 VIII. Ką ty. Uczeń :

 4) rozpoznaje k ą t prosty, ostry i rozwarty ."
"
  Prostokąty i kwadraty";"
 IX. Wielokąty, koła i okręgi. Uczeń:

 4) rozpoznaje i nazywa: kwadrat, prostokąt (…);

 5) zna najważniejsze własności kwadratu, prostokąta (…)."
"
  Obwody prostokątów i

  kwadratów.";"
 XI. Obliczenia w geometrii. Uczeń:

 2) oblicza obwód wielokąta o danych długościach boków; ."
"
  Koła i okręgi";"
 IX. Wielokąty, koła i okręgi. Uczeń:

 6) wskazuje na rysunku cięciwę, średnicę oraz promień koła i okręgu;

 7) rysuje cięciwę koła i okręgu, a także, jeżeli dany jest środek okręgu, promień i średnicę ."

"
  Co to jest skala?";"
 XII. Obliczenia praktyczne. Uczeń:

 8) oblicza rzeczywistą długość odcinka, gdy dana jest jego długość w skali, oraz długość odcinka w skali, gdy d ana jest jego rzeczywista długość ."
"
  Skala na planach*";"
 XII. Obliczenia praktyczne. Uczeń:

 8) oblicza rzeczywistą długość odcinka, gdy dana jest jego długość w skali, oraz długość odcinka w skali, gdy dana jest jego rzeczywista długość ."
"
  DZIAŁ 5. UŁAMKI ZWYKŁE";
"
  Ułamek jako część całości";"
 IV. Ułamki zwykłe i dziesiętne. Uczeń:

 1) opisuje część danej całości za pomocą ułamka ."
"
  Liczby mieszane";"
 IV. Ułamki zwykłe i dziesiętne. Uczeń:

 1) opisuje część danej całości za pomocą ułamka;

 5) przedstawia ułamki niewłaściwe w postaci liczby mieszanej, a l iczbę mieszaną w postaci ułamka niewłaściwego ."
"
  Ułamki i liczby mieszane na

  osi liczbowej";"
 IV. Ułamki zwykłe i dziesiętne. Uczeń:

 7) zaznacza i odczytuje ułamki zwykłe (…) na osi liczbowej oraz odczytuje uła mki zwykłe (…) zaznaczone na osi liczbowej ."
"
  Porównywanie ułamków";"
 IV. Ułamki zwykłe i dziesiętne. Uczeń:

 7) zaznacza i odczytuje ułamki zwykłe (…) na osi liczbowej oraz odczytuje ułamki zwykłe (…) zaznaczone na osi liczbowej;

 12) porównuje ułamki (zwykłe (…))."
