Temat,topic,skill,match_score,Cele podstawowe,Cele ponadpodstawowe,chapter_requirements
Mierzenie kątów,Mierzenie kątów,VIII. Kąty. Uczeń: 2) mierzy z dokładnością do 1º stopnia kąty mniejsze od 180º; 3) rysuje kąty mniejsze od 180º; 6) rozpoznaje kąty wierzchołkowe i przyległe oraz korzysta z ich własności.,100.0,"['zna jednostkę miary kąta (K)', 'umie mierzyć kąty (K)', 'umie kreślić kąty o danej mierze (P)', 'umie określać miarę poszczególnych rodzajów kątów (P)']","['umie obliczać miary kątów przyległych (D)', 'umie rozwiązywać zadania związane z położeniem wskazówek zegara (D –W)']","[(8, 2), (8, 3), (8, 6)]"
Mnożenie i dzielenie (cd.),Mnożenie i dzielenie (cd.),"II. Działania na liczbach naturalnych. Uczeń: 3) mnoży i dzieli liczbę naturalną przez liczbę naturalną jednocyfr ową, dwucyfrową lub trzycyfrową sposobem pisemnym, w pamięci (w najprostszych przykład ach) i za pomocą kalkulatora (w trudniejszych przykładach); 10) szacuje wyniki działań .",100.0,"['umie pamięciowo mnożyć liczby jednocyfrowe przez dwucyfrowe w zakresie 200 (K)', 'umie pamięciowo dzielić liczby dwucyfrowe przez jednocyfrowe lub dwucyfrowe w zakresie 100 (K)', 'umie sprawdzać poprawność wykonania działania (P)', 'umie rozwiązywać jednodziałaniowe zadania tekstowe (P)']","['umie rozwiązywać jednodziałaniowe trudniejsze zadania tekstowe (R)', 'umie dostrzegać zasady zapisu ciągu liczb naturalnych (W)']","[(2, 3), (2, 10)]"
"Mnożenie i dzielenie przez 10, 100…","Mnożenie i dzielenie przez 10, 100 …","II. Działania na liczbach naturalnych. Uczeń: 3) mnoży i dzieli liczbę naturalną przez liczbę naturalną jednocyfrową, dwucyfrową lub trzycyfrową sposobem pisemnym, w pamięci (w najprostszych przykład ach) i za pomocą kalkulatora (w trudniejszych przykładac h); 10) szacuje wyniki działań;",95.77464788732395,"['zna prawo przemienności mnożenia (K)', 'zna zasadę mnożenia i dzielenia przez 10, 100… (K)', 'umie pamięciowo mnożyć i dzielić liczby przez pełne dziesiątki, setki (P)', 'umie obliczać jeden z czynników, mając iloczyn i drugi czynnik (P)', 'um ie rozwiązywać jednodziałaniowe zadania tekstowe (P)']","['umie rozwiązywać jednodziałaniowe trudniejsze zadania tekstowe (R)', 'umie rozwiązywać nietypowe zadania wykorzystujące przemienność mnożenia (D–W)']","[(2, 3), (2, 10)]"
Mnożenie pisemne przez liczby jednocyfrowe,Mnożenie pisemne przez liczby jednocyfrowe,"II. Działania na liczbach naturalnych. Uczeń: 3) mnoży (…) liczbę naturalną przez liczbę naturalną jednocyfr ową, dwucyfrową lub t rzycyfrową sposobem pisemnym, w pamięci (w najprostszych przykład ach) i za pomocą kalkulatora (w trudniejszych przykładach); 10) szacuje wyniki działań .",100.0,"['zna algorytm mnożenia pisemnego przez liczby jednocyfrowe (K)', 'umie porównywać ilorazowo (P)', 'umie mnożyć pisemnie liczby dwucyfrowe przez jednocyfrowe (K)', 'umie mnożyć pisemnie liczby wielocyfrowe przez jednocyfrowe (P)', 'umie powiększać liczby n razy (K –P)', 'umie rozwiązywać zadania tekstowe z zastosowaniem mnożenia pisemnego (P)']",['umie rozwiązywać zadania tekstowe z zastosowaniem mnożenia pisemnego (D–W)'],"[(2, 3), (2, 10)]"
Mnożenie pisemne przez liczby wielocyfrowe,Mnożenie pisemne przez liczby wielocyfrowe*,"II. Działania na liczbach naturalnych. Uczeń: 3) mnoży (…) liczbę naturalną przez liczbę naturalną jednocyfr ową, dwucyfrową lub trzycyfrową sposobem pisemnym, w pamięci (w najprostszych przykład ach) i za pomocą kalkulatora (w trudniejszych przykładach); 10) szacuje wyniki działań .",100.0,"['zna algorytm mnożenia pisemnego liczb wielocyfrowych (P)', 'umie mnożyć pisemnie przez liczby dwucyfrowe (P)', 'umie rozwiązywać zadania tekstowe z zastosowaniem mnożenia pisemnego (P)']","['umie mnożyć pisemnie liczby wielocyfrowe (R)', 'umie powiększać liczbę n razy (R)', 'umie rozwiązywać trudniejsze zadania tekstowe z zastosowaniem mnożenia pisemnego przez liczby wielocyfrowe (D –W),', 'umie rozwiązywać kryptarytmy (W)']","[(2, 3), (2, 10)]"
Mnożenie przez liczby z zerami na końcu,Mnożenie przez liczby z zerami na końcu,"II. Działania na liczbach naturalnych. Uczeń: 3) mnoży (…) liczbę naturalną przez liczbę naturalną jednocyfr ową, dwucyfrową lub trzycyfrową sposobem pisemnym, w pamięci (w najprostszych przykład ach) i za pomocą kalkulatora (w trudniejszych przykładach); 10) szacuje wyniki działań .",100.0,"['zna algorytm mnożenia pisemnego przez liczby zakończone zerami (P)', 'umie mnożyć pisemnie przez liczby zakończone zerami (P),', 'umie rozwiązywać zadania tekstowe z zastosowaniem mnożenia pisemnego (P)']",['umie rozwiązywać trudniejsze zadania tekstowe z zastosowaniem mnożenia pisemnego (D–W)'],"[(2, 3), (2, 10)]"
"O ile więcej, o ile mniej","O ile więcej, o ile mniej",I. Liczby naturalne w dziesiątkowym układzie pozycyjnym. Uczeń: 3) porównuje liczby naturalne. II. Działania na liczbach naturalnych . Uczeń: 5) porównuje liczby naturalne z wykorzystaniem ich różnicy lub ilorazu; 10) szacuje wyniki działań .,100.0,"['umie porównywać różnicowo (P)', 'umie powiększać lub pomniejszać liczbę o daną liczbę naturalną (K –P)', 'umie obliczać, o ile większa (mniejsza) jest jedna liczba od drugiej (K –P)', 'umie obliczać liczbę wiedząc, o ile jest większa (mniejsza) od danej (P)', 'umie rozwiązywać jednodziałani owe zadania tekstowe (P)']","['umie rozwiązywać jednodziałaniowe trudniejsze zadania tekstowe (R)', 'umie rozwiązywać nietypowe zadania dotyczące własności liczb (D –W)']","[(1, 3), (2, 5), (2, 10)]"
Obwody prostokątów i kwadratów,Obwody prostokątów i kwadratów.,XI. Obliczenia w geometrii. Uczeń: 2) oblicza obwód wielokąta o danych długościach boków; .,100.0,"['zna sposób obliczania obwodów prostokątów i kwadratów (K)', 'umie obliczać obwody prostokąta i kwadratu (K –P)', 'umie obliczać długość boku kwadratu przy danym obwodzie (P)']","['umie obliczać długość boku prostokąta przy danym obwodzie i długości drugiego boku (R–D)', 'umie rozwiązywać zadania dotyczące obliczania obwodów prostokątów i kwadratów (R–D)', 'umie obliczać obwody wielokątów złożonych z kilku prostokątów (R–W)']","[(11, 2)]"
Odcinki prostopadłe i odcinki równoległe,Odcinki prostopadłe i odcinki równoległe,"VII. Proste i odcinki. Uczeń: 2) rozpoznaje proste, odcinki prostopadłe i równoległe; 3) rysuje pary odcinków prostopadłych i równoległych .",100.0,"['zna definicje odcinków prostopadłych i odcinków równoległych (P)', 'umie rozpoznawać odcinki prostopadłe oraz odcinki równoległe (K)']",['umie rozwiązywać zadania tekstowe związane z prostopadłością i równoległością odcinków (W)'],"[(7, 2), (7, 3)]"
Odejmowanie pisemne,Odejmowanie pisemne,II. Działania na liczbach naturalnych. Uczeń: 2) dodaje i odejmuje liczby naturalne wielocyfrowe sposobem pisemnym i za pomocą kalkulatora .,100.0,"['zna algorytm odejmowania pisemnego (K)', 'umie porównywać różnicowo (P)', 'umie odejmować pisemnie liczby bez przekraczania progu dziesiątkowego i z przekraczaniem jednego progu dziesiątkowego (K)', 'umie odejmować pisemnie liczby z przekraczaniem kolejnych progów dziesiątkowych (P)', 'umie sprawdzać poprawność odejmowania pisemnego (P)', 'umie obliczać różnice liczb opisanych słownie (P)', 'umie obliczać odjemnik, mając dane różnicę i odjemną (P)', 'umie obliczać jeden ze składników, maj ąc dane sumę i drugi składnik (P)', 'umie rozwiązywać zadania tekstowe z zastosowaniem odejmowania pisemnego (P)']","['umie rozwiązywać kryptarytmy (W)', 'umie rozwiązywać trudniejsze zadania tekstowe z zastosowaniem odejmowania pisemnego (D –W)']","[(2, 2)]"
